номер,обоснование,наименование,ед_изм,кол_на_ед,коэф1,всего_коэф,база_ед,индекс,тек_ед,коэф2,всего_руб,row_index,раздел,вид_работ,тип_работы,категория
Раздел 1. Адаптация  прилегающей территории,,,,,,,,,,,,0,Раздел 1. Адаптация  прилегающей территории,,,монтажные работы
Демонтажные работы,,,,,,,,,,,,1,Раздел 1. Адаптация  прилегающей территории,Демонтажные работы,,монтажные работы
1,ГЭСН13-06-003-01,Очистка поверхности щетками (Снятие старой краски со столбов входных ворот и калитки),м2,3.63,1.0,3.63,,,,,,2,Раздел 1. Адаптация  прилегающей территории,Демонтажные работы,материалы,монтажные работы
,,"Объем=1,21*3",,,,,,,,,,3,Раздел 1. Адаптация  прилегающей территории,Демонтажные работы,,монтажные работы
,1,ОТ(ЗТ),чел.-ч,,,3.267,,,,,1136.72,4,Раздел 1. Адаптация  прилегающей территории,Демонтажные работы,услуги,монтажные работы
,1-100-30,"Средний разряд работы 3,0",чел.-ч,0.9,,3.267,,,347.94,,1136.72,5,Раздел 1. Адаптация  прилегающей территории,Демонтажные работы,услуги,монтажные работы
,,Итого прямые затраты,,,,,,,,,1136.72,6,Раздел 1. Адаптация  прилегающей территории,Демонтажные работы,,монтажные работы
,,ФОТ,,,,,,,,,1136.72,7,Раздел 1. Адаптация  прилегающей территории,Демонтажные работы,,монтажные работы
,Пр/812-013.0-1,НР Защита строительных конструкций и оборудования от коррозии,%,94.0,,94.0,,,,,1068.52,8,Раздел 1. Адаптация  прилегающей территории,Демонтажные работы,,монтажные работы
,Пр/774-013,СП Защита строительных конструкций и оборудования от коррозии,%,51.0,,51.0,,,,,579.73,9,Раздел 1. Адаптация  прилегающей территории,Демонтажные работы,,монтажные работы
,,Всего по позиции,,,,,,,767.21,,2784.97,10,Раздел 1. Адаптация  прилегающей территории,Демонтажные работы,,монтажные работы
2,ГЭСНр68-02-012-01,Разборка тротуаров и дорожек из плит с их отноской и укладкой в штабель (Прим. разборка тротуарной плитки толщ.60мм),100 м2,0.01,1.0,0.01,,,,,,11,Раздел 1. Адаптация  прилегающей территории,Демонтажные работы,материалы,монтажные работы
,,"Объем=(0,5*0,5*4) / 100",,,,,,,,,,12,Раздел 1. Адаптация  прилегающей территории,Демонтажные работы,,монтажные работы
,1,ОТ(ЗТ),чел.-ч,,,0.1868,,,,,58.06,13,Раздел 1. Адаптация  прилегающей территории,Демонтажные работы,услуги,монтажные работы
,1-100-17,"Средний разряд работы 1,7",чел.-ч,18.68,,0.1868,,,310.81,,58.06,14,Раздел 1. Адаптация  прилегающей территории,Демонтажные работы,услуги,монтажные работы
,,Итого прямые затраты,,,,,,,,,58.06,15,Раздел 1. Адаптация  прилегающей территории,Демонтажные работы,,монтажные работы
,,ФОТ,,,,,,,,,58.06,16,Раздел 1. Адаптация  прилегающей территории,Демонтажные работы,,монтажные работы
,Пр/812-102.0-1,НР Благоустройство (ремонтно-строительные),%,102.0,,102.0,,,,,59.22,17,Раздел 1. Адаптация  прилегающей территории,Демонтажные работы,,монтажные работы
,Пр/774-102,СП Благоустройство (ремонтно-строительные),%,54.0,,54.0,,,,,31.35,18,Раздел 1. Адаптация  прилегающей территории,Демонтажные работы,,монтажные работы
,,Всего по позиции,,,,,,,14863.0,,148.63,19,Раздел 1. Адаптация  прилегающей территории,Демонтажные работы,,монтажные работы
Монтажные работы,,,,,,,,,,,,20,Раздел 1. Адаптация  прилегающей территории,Монтажные работы,,монтажные работы
3,ГЭСН13-06-004-01,Обеспыливание поверхности,м2,3.63,1.0,3.63,,,,,,21,Раздел 1. Адаптация  прилегающей территории,Монтажные работы,материалы,монтажные работы
,,"Объем=1,21*3",,,,,,,,,,22,Раздел 1. Адаптация  прилегающей территории,Монтажные работы,,монтажные работы
,1,ОТ(ЗТ),чел.-ч,,,0.363,,,,,126.3,23,Раздел 1. Адаптация  прилегающей территории,Монтажные работы,услуги,монтажные работы
,1-100-30,"Средний разряд работы 3,0",чел.-ч,0.1,,0.363,,,347.94,,126.3,24,Раздел 1. Адаптация  прилегающей территории,Монтажные работы,услуги,монтажные работы
,2,ЭМ,,,,,,,,,3.57,25,Раздел 1. Адаптация  прилегающей территории,Монтажные работы,,монтажные работы
,91.21.22-638,"Пылесосы промышленные, мощность до 2000 Вт",маш.-ч,0.1,,0.363,,,9.84,,3.57,26,Раздел 1. Адаптация  прилегающей территории,Монтажные работы,услуги,монтажные работы
,,Итого прямые затраты,,,,,,,,,129.87,27,Раздел 1. Адаптация  прилегающей территории,Монтажные работы,,монтажные работы
,,ФОТ,,,,,,,,,126.3,28,Раздел 1. Адаптация  прилегающей территории,Монтажные работы,,монтажные работы
,Пр/812-013.0-1,НР Защита строительных конструкций и оборудования от коррозии,%,94.0,,94.0,,,,,118.72,29,Раздел 1. Адаптация  прилегающей территории,Монтажные работы,,монтажные работы
